v.id,on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price
964,579505,771166,5,62918,4,6,10,174,112,132,426760.0
193,630842,709467,6,64667,4,4,9,150,106,139,408860.5
334,619697,880221,5,66345,4,8,12,185,82,92,500164.0
4,573999,722381,4,101065,4,3,11,197,54,116,244295.5
205,523637,816084,7,127042,5,6,11,135,86,82,158951.5
515,574548,808948,7,101621,5,8,12,140,57,71,295013.0
800,510669,833987,3,96784,3,2,14,145,93,124,285487.0
307,561292,892767,2,138370,2,7,14,169,60,108,182219.5
110,538205,838310,2,52701,3,5,8,143,59,128,479318.5
431,552309,750321,6,134717,4,10,11,164,66,126,159309.5
78,574691,751513,2,114702,4,5,11,175,61,120,206591.0
85,577821,762633,2,87661,1,8,11,150,107,82,336181.5
287,698848,706280,7,111194,2,10,10,199,57,133,299645.0
83,669082,883158,3,115617,5,3,10,151,58,69,315403.5
992,593544,844333,2,144322,3,6,13,180,54,70,145880.5
790,625048,731255,5,129866,1,7,11,171,54,79,165741.5
895,671271,885264,2,115241,4,8,15,197,101,114,334502.0
399,643414,835263,6,121264,3,2,9,198,113,86,250771.0
324,536149,822452,7,98529,3,6,12,143,69,138,281037.5
520,616528,818206,5,125066,1,10,12,152,106,115,265799.5
917,555055,885685,4,106209,3,1,12,184,89,108,295406.5
923,694577,718804,7,142292,4,1,12,135,75,109,129863.0
6,650007,844846,6,148846,2,9,13,138,61,109,177933.5
732,569918,882960,6,139060,4,8,14,145,108,68,183465.5
466,603745,881849,4,87263,2,10,15,137,76,120,443528.0
98,685165,700885,6,143513,3,6,15,141,117,102,119387.0
267,643100,860268,3,111289,2,1,12,153,80,97,306660.0
358,677501,708173,5,148135,2,8,9,159,104,89,115351.0
869,553193,713245,7,144691,3,4,13,144,89,69,46920.5
799,568395,831705,6,147297,5,3,12,156,111,116,108921.5
381,511480,707187,7,106846,4,6,11,145,75,128,178180.5
632,567270,866846,2,56829,4,6,9,144,102,112,494345.5
382,530534,844523,2,139330,4,10,10,191,72,124,180948.0
491,653115,828452,3,109500,2,2,11,149,68,133,302929.5
119,658513,734546,6,105989,3,4,9,149,78,119,269532.5
901,638444,849075,7,136786,5,5,9,174,68,135,191566.0
251,639784,775197,4,62513,4,3,9,148,115,122,457793.0
524,614333,830559,5,123416,3,5,10,153,86,74,229110.0
10,573043,879481,2,132347,2,3,12,200,115,82,197266.0
197,585809,708970,5,76096,5,5,13,162,91,83,344820.5
604,592610,704912,3,130989,1,4,13,189,89,69,125454.0
82,548129,863055,2,77250,2,8,15,184,114,101,413288.0
784,573920,793513,6,129656,5,9,13,186,76,138,192576.0
588,508356,799162,7,61116,2,10,12,185,65,72,451140.5
798,667176,740200,6,80059,2,4,10,157,54,84,380289.5
240,663651,834585,7,64973,4,7,10,186,113,126,490000.5
291,661301,714269,4,135652,4,4,11,140,86,72,145898.5
212,548477,726882,6,58604,3,4,11,153,117,105,400257.0
718,694363,751659,6,111844,5,3,15,144,84,99,273707.0
360,542922,731562,4,128326,4,2,11,145,106,87,124183.5
450,567129,754655,5,132856,1,6,10,136,119,110,132026.5
228,620354,776304,4,84131,5,8,11,185,72,125,379491.0
951,629323,711938,7,87618,5,5,11,161,82,139,315131.5
947,508242,775411,4,60917,1,6,10,151,100,69,401745.0
797,548996,783505,7,89457,1,8,10,184,108,105,316652.0
502,691946,879308,6,124010,5,3,15,137,102,120,287675.0
465,662468,874591,7,133038,3,4,15,184,84,77,228892.5
363,531885,895833,6,119737,2,9,11,155,80,119,260801.0
469,531988,816682,7,99340,5,10,13,143,68,135,320391.5
936,661074,779523,6,71556,4,8,13,160,98,82,447337.0
429,695631,899083,4,137714,1,9,13,197,83,85,275781.0
8,662990,891569,6,76546,1,2,12,146,109,96,467471.5
156,691375,711115,4,103666,5,6,15,152,96,108,291810.0
542,509560,898476,7,97061,4,3,8,176,118,75,308220.5
441,547835,774880,4,63934,1,3,11,198,91,137,405505.0
483,668434,798819,5,63448,1,9,13,173,100,138,508087.0
423,584786,896839,6,84933,3,9,14,159,105,128,427132.5
779,591356,824911,3,94294,3,4,8,180,82,109,331687.0
950,590968,836673,2,102791,1,5,13,149,65,100,304445.0
335,553351,747014,7,81955,5,3,14,190,87,70,315914.5
577,548116,811132,4,77196,3,4,14,155,85,95,371227.0
935,583781,897344,6,148838,4,8,14,149,100,140,158511.0
568,676727,756074,4,117511,3,1,13,139,120,123,246242.0
595,631833,854539,6,60233,4,4,12,173,72,125,499647.0
531,670656,871042,4,95020,5,2,14,182,65,81,392097.5
582,673745,742029,3,66721,2,10,11,138,97,95,491123.0
708,504016,791933,4,106653,4,2,15,194,112,96,221692.0
449,512638,820109,6,55592,4,4,15,142,56,85,441395.5
454,673588,755102,6,147206,3,4,14,193,98,115,122567.5
229,557635,798449,3,50815,3,1,8,181,115,78,475001.5
353,620721,769100,6,130890,3,9,9,168,85,89,197320.0
729,506067,804098,5,117260,2,5,10,155,118,126,186308.0
213,639403,846365,7,103143,2,2,12,155,111,117,322204.0
80,576412,749928,4,114468,2,8,11,137,55,140,221412.5
149,663985,748107,3,146540,3,7,9,164,63,92,128489.5
303,577471,890960,3,64120,3,6,13,144,51,113,481862.0
629,615930,767273,5,124225,4,9,8,145,91,88,223369.5
778,560066,768454,5,138414,4,6,14,155,79,87,113700.0
507,687237,843143,6,125638,1,9,15,143,101,94,288556.5
343,596236,840187,4,94388,2,6,15,162,65,124,344339.5
486,684924,737091,7,132498,1,5,11,164,69,94,174399.0
712,580102,753682,2,103972,2,2,14,196,78,125,251317.5
134,660260,791726,2,75311,4,4,10,143,74,89,425960.0
704,607256,722776,4,116286,2,10,11,144,77,112,249603.0
312,509579,761720,2,65706,4,10,8,148,84,75,423507.0
723,570570,818218,6,96565,4,2,8,166,87,140,305002.5
630,600974,835783,5,91449,5,10,11,149,70,120,402812.5
1,535651,798186,3,78945,1,2,14,177,73,123,351318.0
317,642174,749626,3,127775,5,4,9,182,120,129,187009.0
707,570781,866830,4,95647,2,8,8,192,89,134,352345.0
548,554778,873033,2,78535,3,4,8,185,73,125,400606.5
873,692157,824926,7,142959,2,4,9,198,116,99,179077.0
533,668427,811766,3,60176,4,8,15,151,87,135,516466.0
478,690836,800089,6,89533,1,5,12,180,72,90,385248.5
405,617893,728235,5,91030,4,4,11,163,84,108,308643.5
173,549326,784319,5,111631,4,1,8,136,113,115,219462.5
126,652544,783771,7,83487,4,5,10,141,62,79,378071.5
395,539392,721550,3,81037,4,3,12,175,108,95,307096.0
421,552280,898290,2,129891,5,2,11,144,57,72,207480.5
553,670488,831110,6,118013,1,6,14,151,62,83,278993.5
904,610246,867049,5,145711,3,8,9,194,58,95,170960.5
91,507804,835300,7,97320,3,10,13,175,82,114,324260.0
940,699322,723544,5,91444,4,7,11,153,66,114,353237.0
182,663877,712781,4,125669,1,3,12,153,74,74,185485.5
275,605017,835653,4,98980,4,7,13,146,106,125,333091.5
896,522690,700733,3,62161,1,2,8,170,120,94,363186.5
70,685935,784038,5,111461,2,8,12,142,73,114,304216.5
292,697488,887714,2,130004,3,6,10,198,57,99,276805.5
132,516747,780413,2,74396,1,6,15,159,95,134,355175.0
301,532784,822216,4,69525,1,8,9,181,111,68,415493.0
425,597229,830443,6,149529,1,4,14,147,73,103,112604.0
327,592277,878871,4,122589,1,9,8,200,96,85,274453.5
145,543149,790766,4,90509,4,5,14,143,50,134,306745.5
424,568688,885904,4,58427,5,7,13,181,53,128,503307.5
581,547027,782602,2,108683,4,4,8,152,53,133,231291.5
136,625747,780263,5,125694,2,7,13,155,86,123,207352.5
451,577448,711931,7,140455,4,5,13,137,71,86,76772.0
165,642206,724236,6,135473,5,5,12,158,63,100,140798.5
29,667905,842018,7,143488,4,4,12,142,74,74,173847.0
774,548859,804414,5,74791,5,2,10,147,53,136,377706.5
194,678529,770463,3,61501,3,5,13,142,62,132,480307.0
389,656956,796638,6,62768,1,1,13,165,73,79,472081.0
853,681606,874791,4,71430,2,5,15,140,52,106,493806.5
170,682642,822524,3,89634,1,2,13,183,65,116,394208.5
706,688038,741756,5,92073,5,9,11,195,61,114,376375.0
141,666466,765086,5,84645,4,9,14,170,104,90,405950.0
174,678638,756501,7,101835,4,8,10,193,84,81,318951.0
7,633344,756063,5,78025,1,9,15,171,94,132,410877.0
746,530056,722815,2,102621,3,1,14,145,77,71,216302.0
479,636836,737079,4,133726,1,6,15,170,115,68,155719.0
74,557537,807222,4,50714,1,10,15,178,85,125,529318.5
911,547958,881844,7,58644,3,5,10,170,107,80,473834.0
814,586866,897571,4,73215,1,7,10,175,51,99,457463.0
239,652099,877998,7,60345,3,9,12,183,94,99,545171.0
146,638415,766346,4,54984,3,5,14,169,50,120,483884.0
793,549439,863684,4,52213,3,5,12,146,87,102,499121.0
235,505738,748993,5,89569,1,5,10,189,64,119,269326.0
221,633227,838144,7,55789,3,7,11,162,81,105,512885.5
924,507272,723423,7,133251,4,3,13,199,102,109,74863.0
501,554382,765841,3,119539,4,7,9,142,87,104,190956.5
133,524395,783352,2,139517,4,2,11,179,102,71,96554.0
991,513242,812506,7,59097,4,1,13,168,89,127,418871.5
775,627403,785111,7,64701,4,6,13,186,88,129,443735.5
186,607956,824296,6,135163,3,4,11,188,70,106,172462.0
42,623158,878859,6,74674,5,1,10,158,83,81,450198.5
697,507180,872051,7,121255,2,7,10,192,64,88,204833.5
109,661095,828377,2,61760,4,1,11,136,117,77,498418.0
589,659900,731637,4,135529,2,1,11,154,66,88,153371.5
57,593348,736659,6,70499,5,5,11,184,51,78,382461.5
406,546212,886437,2,120388,3,3,13,151,65,119,235251.5
443,557488,811736,5,68212,5,7,12,172,73,78,420401.0
758,658505,815372,3,96683,3,9,13,151,99,101,379991.0
998,646344,842733,7,86722,1,8,9,196,113,89,405871.0
25,651106,779208,4,53137,3,8,8,191,109,121,518845.0
468,631967,806929,3,149565,5,1,9,151,71,125,122843.5
540,505560,817668,6,124610,3,1,11,159,71,127,159647.0
532,551204,716632,3,76306,2,3,13,161,85,112,328973.5
619,564077,767455,6,133023,1,3,8,186,60,99,130112.5
695,588251,738419,7,63815,4,1,12,142,102,133,400444.5
927,621591,720042,2,89687,1,3,14,184,73,136,312469.0
339,664925,800032,4,60919,4,6,12,160,118,99,492951.0
52,508364,761766,2,139139,4,9,9,154,108,80,108741.0
508,502281,759393,7,61910,5,4,10,162,113,106,377108.5
517,615409,881738,4,144010,5,10,14,188,91,127,223885.0
921,541106,842527,4,123788,3,10,8,136,67,105,246460.0
782,600832,855437,6,130599,4,3,10,184,73,79,202702.0
265,694439,834193,5,68013,3,5,15,179,107,81,492681.5
818,576916,724215,7,120456,3,10,15,182,106,123,210777.5
711,506146,769776,6,100400,1,3,8,195,117,87,232826.5
683,667629,809188,6,52946,2,8,12,198,53,86,539377.0
833,641948,708498,4,87528,4,9,13,190,56,114,354900.0
519,572777,736355,2,83022,4,6,8,179,109,75,327075.5
448,658253,796313,5,113147,3,5,9,189,84,104,275045.5
19,671058,843316,5,79458,5,1,14,156,84,132,439639.5
716,533865,710103,2,94501,1,3,8,158,92,89,244287.5
484,546978,783926,6,101139,1,8,11,200,106,107,273659.5
569,657738,856807,7,72872,4,8,14,174,61,140,474562.5
434,524473,772232,3,124833,4,7,10,197,55,82,158031.5
368,573279,761659,3,115714,4,5,14,140,95,110,206836.5
84,695797,872137,7,81941,3,10,11,144,60,129,498148.0
62,558209,767363,3,140885,4,8,12,151,59,114,116254.5
639,554232,775303,7,128961,1,3,10,176,82,126,140884.0
273,550135,746967,2,51894,4,8,15,160,108,75,458139.0
286,542393,735671,2,116626,2,1,11,143,58,138,172758.5
361,697098,712590,6,75011,1,1,8,187,65,99,401120.5
355,575398,888701,7,103222,2,1,9,198,78,68,310987.0
457,631367,731363,4,59806,2,2,8,156,59,126,441863.5
279,640520,751024,4,129251,2,3,13,142,77,110,178642.5
13,619831,780397,4,53513,3,9,13,174,81,92,515454.0
183,570874,753259,5,109579,5,9,8,135,94,110,253476.5
369,522401,757454,4,68294,5,4,10,163,65,89,368522.5
882,689781,750728,5,97874,5,4,15,142,83,86,329538.5
616,657060,727137,2,111290,1,3,11,183,80,82,247277.5
224,521785,701108,7,127229,1,6,9,175,64,134,98242.5
573,671230,719802,2,75622,2,6,10,200,120,114,397183.0
971,659445,862435,7,121144,1,6,8,153,118,117,272075.0
654,665231,861124,6,117094,1,6,12,162,60,72,295021.0
546,689087,705059,6,117501,2,9,15,189,104,113,253037.0
583,533518,787875,4,78060,5,2,10,187,120,107,349780.0
634,508437,743211,6,77353,4,8,11,184,53,80,329639.0
177,664655,832532,3,139295,5,10,12,150,79,112,243097.0
666,635763,822326,3,130540,1,1,12,159,93,75,206999.5
674,687819,815896,7,63993,3,9,12,148,74,110,517366.0
586,589165,807150,6,53075,5,7,9,200,73,117,492171.0
874,674051,708919,2,121615,4,1,10,163,52,75,205716.5
394,509187,761131,7,81086,3,6,12,191,100,103,306690.0
164,542613,798150,4,86272,3,10,8,192,96,78,375118.0
249,608405,818986,7,73851,1,5,10,175,109,116,411701.0
635,561891,842409,3,140023,5,7,9,174,80,111,152125.5
886,630597,791700,3,83938,5,4,12,136,56,115,377575.0
670,637691,717652,2,98880,2,3,11,195,60,71,282496.5
376,689935,856093,5,60213,4,8,13,165,88,79,547746.0
413,648262,780132,4,147265,5,4,12,181,65,126,126957.5
75,572094,714521,4,129978,5,3,14,169,105,90,124847.5
114,666094,871905,6,104220,3,9,8,198,119,129,378132.5
599,609545,842201,3,97223,1,3,12,173,99,135,337257.0
962,515637,718016,5,52974,1,7,12,185,82,74,412014.5
391,602529,869728,3,61880,3,8,10,179,102,81,505223.5
105,500265,753148,7,52701,5,7,9,184,108,84,417693.5
115,630266,706950,6,130732,4,9,10,135,90,83,172032.5
418,557987,701042,5,101889,3,8,15,187,54,139,237204.0
526,642956,737175,6,89816,1,5,12,170,57,72,328698.0
458,622325,748066,3,51513,3,4,10,146,108,127,479896.0
410,617887,790305,4,66427,1,7,9,158,88,88,446487.5
93,535574,740396,7,64457,5,7,13,159,77,76,381960.0
931,513917,860565,5,118481,3,10,9,186,80,81,262090.0
90,624982,754152,7,67045,1,8,13,188,118,127,429669.0
337,505785,856378,2,68343,3,3,13,157,103,105,408203.5
989,565452,735371,3,65422,5,4,10,155,112,111,390915.5
922,557962,852573,3,70888,3,5,15,189,89,109,423584.0
934,590078,746933,5,147994,4,10,10,146,114,125,125721.5
606,625272,880688,6,122747,5,7,13,149,63,107,268314.0
594,548987,852811,7,70597,1,3,13,191,107,106,410516.0
612,590329,728019,7,50324,2,5,11,196,51,106,451290.0
95,557699,879964,7,105139,5,3,11,197,114,87,291815.5
12,668839,802272,6,117221,5,2,9,187,74,87,264576.5
397,629081,835860,5,107058,2,4,15,189,89,102,303506.5
534,629254,870586,7,83524,2,8,13,194,97,114,424107.5
44,578908,850550,7,72391,5,8,15,163,81,130,435007.5
43,623187,851197,6,111922,3,9,13,193,59,140,315542.5
330,574876,759437,3,52498,1,5,12,137,79,95,458833.5
168,661284,884211,3,120926,5,7,9,166,105,131,299129.5
498,553494,835428,5,113365,4,3,14,156,95,116,240353.5
877,651702,832560,5,114604,4,4,13,185,94,70,283435.5
598,609167,759772,3,118604,3,7,11,137,78,81,218665.5
757,633837,776469,2,64662,1,3,14,135,72,125,446875.0
101,508452,785537,4,78314,2,3,15,188,65,138,333672.0
427,644052,796232,2,81695,2,5,13,150,78,130,395188.0
179,623627,728146,7,91095,4,7,15,161,119,105,312323.5
445,515594,779382,4,128177,2,10,15,191,52,106,184571.0
417,635487,817484,5,76805,2,1,9,135,104,121,417940.0
871,648199,841541,7,121114,2,5,15,161,95,75,253867.0
883,549029,736337,4,106607,2,10,9,155,65,91,265955.0
681,695207,868118,6,133211,3,4,15,155,64,137,245854.5
178,653906,702490,4,60086,5,2,11,168,107,95,439166.0
396,577540,791477,7,65717,1,8,10,186,65,81,429837.5
912,533969,825531,4,113637,2,6,14,162,118,87,228875.5
794,681544,844472,6,66133,3,5,10,152,105,127,496514.0
961,546807,806720,6,97044,3,9,11,177,83,81,314576.5
685,674576,753775,5,116435,2,5,13,175,104,125,248738.0
384,631154,863117,4,92461,5,10,12,194,78,105,428602.5
957,557572,712832,4,144875,2,4,8,182,66,102,55925.0
752,506121,763706,2,58557,4,2,15,196,97,87,401500.0
258,500921,792216,6,56937,5,9,14,185,64,117,446300.5
539,503255,742573,5,126362,5,7,11,140,61,80,126070.5
336,525901,756923,7,116289,1,5,14,145,88,89,169674.5
16,658177,759879,7,70564,1,10,15,176,74,119,468666.0
325,669877,772794,3,55313,2,4,9,140,70,88,500679.5
759,614542,769732,2,113210,3,3,14,191,104,92,239815.5
223,663185,714026,3,68247,3,7,13,189,103,107,424305.0
180,647956,859535,6,85070,1,10,11,158,102,130,459833.5
984,509826,840086,7,92567,3,8,12,191,83,101,313049.5
23,630883,744258,6,94437,5,9,15,176,84,126,337327.0
357,514779,759061,4,132690,2,6,12,172,100,137,109828.5
667,512312,779578,2,133956,2,2,9,189,77,98,110359.5
862,554928,730625,5,129991,3,4,14,168,71,77,122139.5
341,542761,830535,6,104526,5,8,8,188,88,98,282821.5
432,530050,736198,2,74905,4,6,13,169,72,97,338141.5
552,513645,798283,2,124499,1,10,12,181,54,95,208189.5
834,502131,807383,5,125450,2,3,15,188,119,77,151836.5
204,583009,840537,5,148481,2,10,12,172,96,125,166571.0
631,586833,842082,7,110122,3,10,9,195,67,132,315925.0
94,655253,874106,4,141405,4,2,10,197,72,107,199313.5
559,579087,734380,7,140740,3,8,11,176,112,129,102144.5
69,620112,850548,5,113638,4,9,8,171,51,120,309455.0
623,598876,819161,6,100630,3,9,8,166,76,138,332478.5
285,601097,848296,7,59454,3,9,11,135,84,71,508328.5
845,515478,727556,7,131174,2,5,10,195,53,100,90220.0
435,620611,890441,4,71450,5,4,10,184,120,74,471527.5
154,675812,834425,6,124754,1,6,10,198,61,98,256331.5
76,602489,833980,6,104924,1,3,11,158,55,125,295002.0
731,640205,750816,2,87383,5,8,10,197,81,115,364155.5
447,544593,874532,2,109453,5,4,13,159,99,105,274075.0
189,620809,760522,2,146254,3,5,8,151,74,77,107500.5
272,607360,890036,3,102435,5,6,9,146,70,119,344495.0
237,600873,718675,5,91204,5,5,15,183,76,133,296829.0
488,543587,811245,3,72714,5,3,12,151,100,112,388376.0
118,634461,710901,2,115874,4,9,8,155,51,119,239400.0
944,668006,792678,4,85600,1,4,14,181,89,68,388209.5
513,665173,813933,4,130393,3,6,14,195,77,137,221781.0
826,506115,785062,6,147129,2,1,15,167,77,70,53470.5
592,587022,811616,4,50888,5,4,12,151,89,102,497572.5
127,625255,846911,5,68992,3,3,15,195,106,73,459095.0
117,629587,818914,2,74161,4,9,11,179,100,107,457880.5
474,647422,750774,2,132215,3,7,12,137,100,108,178991.5
694,513733,806198,6,147741,3,1,10,158,119,87,65467.5
58,665615,878127,7,79813,3,1,13,158,110,138,444625.0
864,620142,723335,2,71646,3,5,13,167,61,136,387089.0
913,688832,874570,6,104427,4,5,13,159,57,125,362434.5
370,542326,805591,4,56985,4,10,15,145,107,73,496293.5
269,508137,807048,5,122974,1,2,9,193,111,78,164382.0
47,645596,719594,3,97328,4,2,8,154,64,90,293875.5
350,653370,895314,7,67912,1,1,12,136,120,101,494542.0
196,596991,815999,6,58064,3,10,8,137,87,86,520659.5
1000,590105,779743,5,67295,4,2,8,199,99,96,414938.5
835,588202,793072,3,68068,2,5,14,156,85,124,420102.5
737,530951,741086,4,116318,3,8,15,171,106,118,187050.0
264,529761,776002,6,132152,1,5,15,144,80,105,122225.5
444,536280,724335,7,113232,2,5,12,199,86,139,170838.5
676,579272,705431,6,69640,4,2,10,170,92,70,360647.5
305,536331,747386,2,103983,3,5,13,159,72,102,227845.5
342,691280,882416,3,90028,3,10,8,163,119,93,476955.5
967,569576,801880,2,96472,4,4,13,147,71,80,301081.5
150,594417,819295,6,125188,1,2,13,156,81,135,202503.0
125,643495,800644,7,93270,2,5,12,192,89,100,342427.0
787,633596,837657,3,123324,2,4,8,146,104,112,242950.0
51,624057,712356,5,113301,1,8,13,162,79,122,230090.5
354,550199,887546,5,120477,2,3,15,178,77,127,235843.0
928,556014,776692,6,108315,3,3,15,165,120,93,229749.5
143,565576,894746,7,112910,4,5,10,171,107,113,272437.5
471,679088,710099,7,72223,2,8,12,163,113,93,413954.5
400,681635,864726,7,53183,4,9,13,139,90,133,582347.0
626,608377,799455,7,65698,4,1,14,180,95,71,433504.0
321,692252,803941,3,52686,1,8,12,191,71,73,553855.0
20,652172,832672,2,140673,4,8,10,153,73,86,196816.0
810,637719,811720,6,142975,4,4,15,164,55,114,150234.5
791,643088,794591,6,110396,2,4,13,171,94,119,274172.0
809,640509,749893,5,143410,1,7,9,179,80,120,128632.5
408,647221,850294,3,147460,5,2,12,152,70,80,160597.5
538,622089,815583,7,113889,5,5,15,150,85,74,258268.5
621,648340,802177,5,91222,4,9,10,181,112,116,389099.0
39,523294,762865,3,94258,1,10,11,173,101,120,316184.0
176,655171,797665,6,64547,1,2,15,172,56,99,464634.5
246,618988,804859,5,125514,3,10,13,169,119,74,258692.0
829,698100,837899,3,132988,1,7,14,196,114,114,244640.0
668,650030,708684,7,89225,5,2,10,181,94,94,315866.5
755,623972,734657,2,121747,4,1,10,192,85,111,193067.0
859,624078,781798,3,110247,4,7,14,140,73,124,271010.5
155,685877,738545,2,107712,5,10,11,183,68,75,333133.0
288,644241,874805,7,63098,3,2,15,187,98,131,499185.5
603,503374,781364,7,61478,4,5,8,161,55,75,390305.5
570,601462,700177,3,69779,4,6,15,176,56,114,376267.5
744,640187,859754,2,110828,1,3,9,179,56,120,306982.5
18,583560,882426,4,115576,2,6,14,195,69,93,274357.5
128,619240,776455,3,149413,1,6,12,186,86,89,104215.0
323,578865,738976,5,139287,2,7,12,170,111,104,108894.0
256,640818,757650,3,91163,5,6,9,180,109,138,340165.0
658,588035,755016,3,148167,1,6,10,198,74,75,82848.0
965,650874,828284,3,143076,5,9,14,169,52,125,198511.5
191,684983,717859,2,133843,3,5,13,141,84,129,167978.5
116,684369,829557,2,131804,2,4,8,144,55,76,230428.5
617,671630,707361,2,70246,4,2,13,187,118,104,409312.5
607,610143,792213,2,55630,2,9,13,167,85,78,508432.0
181,528476,803291,7,113280,4,5,11,179,85,102,206678.0
302,664917,802058,6,58798,4,5,8,171,61,82,496671.0
760,628741,846933,7,56894,2,5,9,174,52,117,503648.0
713,576777,713090,7,72730,1,9,11,183,94,73,375370.5
724,663534,859927,5,58938,1,6,15,171,107,103,528607.5
686,686538,797605,3,77703,5,9,12,198,74,132,462499.0
980,633666,806052,7,115176,5,2,11,152,71,95,252549.5
518,520168,896983,2,149654,4,4,9,145,76,133,111185.0
985,520389,757603,3,126940,1,10,15,194,73,135,181428.5
46,645738,863715,4,103761,4,10,11,162,107,96,389925.5
910,680781,826128,7,76860,2,9,13,139,93,86,467395.0
158,645485,702547,2,104980,2,5,10,181,76,129,255901.5
852,631117,869606,3,87698,2,1,9,139,96,99,399672.0
172,634610,726256,4,105279,4,9,10,158,59,99,289049.5
17,556598,849902,4,130514,3,9,15,189,120,133,210661.5
512,579894,750878,7,95846,4,10,13,150,66,140,324373.0
49,581432,847558,2,79912,5,8,13,160,118,130,413066.0
972,644663,798258,6,108644,2,2,9,155,67,136,283248.0
941,664671,813825,3,62177,2,6,12,160,70,132,494575.5
516,580508,816624,2,62188,2,8,8,165,94,77,466398.0
953,660351,703234,4,56991,1,8,14,151,66,97,469956.0
481,517451,770875,4,52568,1,1,12,151,76,73,433602.0
284,636153,720593,2,127404,1,3,14,144,67,118,169125.5
719,610290,828062,2,101870,1,2,12,188,109,112,311973.0
878,552852,893431,2,95757,3,2,10,137,54,98,340429.5
226,533182,835338,7,132541,3,4,11,185,83,95,146568.0
27,529558,833873,4,85911,1,3,13,145,79,78,337917.0
955,506504,700428,4,105905,3,1,13,160,52,130,179711.5
438,565733,731851,5,132105,1,5,9,152,93,96,120583.5
952,515983,700536,7,104079,4,6,13,138,64,121,188186.0
365,647888,834728,6,67098,5,2,12,193,110,121,470890.5
230,620634,878823,3,90829,5,5,11,141,58,68,389610.0
38,508335,757721,6,54003,2,7,11,160,106,80,421781.0
966,674274,877820,6,119356,2,7,13,194,59,107,303419.0
375,549895,792233,5,95730,5,8,14,170,91,123,304818.0
470,520016,754494,7,123383,4,1,12,164,77,109,136079.0
968,502311,817354,4,106613,2,1,10,174,114,120,233139.0
851,545000,842756,7,109021,4,3,15,197,74,75,250309.5
705,653099,797771,2,88306,2,10,8,196,76,121,422439.5
842,573939,714027,6,149902,4,9,15,194,119,139,70862.0
195,568040,877489,5,136622,2,3,12,164,119,75,175102.5
855,673958,842763,5,55722,3,10,10,151,96,125,584267.5
865,616614,828422,6,144644,4,1,11,165,79,95,140796.5
504,541120,778500,2,61612,1,5,9,152,54,101,415103.0
970,532232,777524,7,84252,2,6,13,164,95,70,313619.5
831,556073,715972,6,82440,5,8,15,180,58,101,320603.0
580,629451,895138,4,97989,5,10,15,135,74,99,421655.5
969,566783,738810,6,70087,3,10,11,141,106,136,418934.0
163,691412,769253,2,145509,1,5,13,139,79,78,150076.0
909,619141,712376,5,68811,5,2,12,152,63,93,390756.5
153,652966,812593,5,69621,3,1,8,164,86,114,453069.0
802,528256,773069,6,148374,2,7,13,137,65,90,61928.5
994,601042,756860,2,92988,2,1,12,170,99,98,307255.0
756,523291,841204,3,90252,2,5,11,197,103,89,322951.5
