on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price,depreciation,km_per_year,performance,value_score
662318.0,710417.0,4.0,82204.0,4.0,2.0,14.0,141.0,101.0,73.0,357823.0,304495.0,16440.8,174.0,56.0
536651.0,748422.0,5.0,63020.0,4.0,7.0,8.0,186.0,82.0,95.0,398023.0,138628.0,10503.333333333334,177.0,32.0
598238.0,851789.0,4.0,131374.0,5.0,2.0,9.0,181.0,91.0,68.0,200794.5,397443.5,26274.8,159.0,45.0
528703.0,855562.0,3.0,92369.0,5.0,4.0,14.0,176.0,70.0,138.0,324899.5,203803.5,23092.25,208.0,70.0
596607.0,792572.0,4.0,95771.0,1.0,9.0,12.0,136.0,88.0,115.0,340760.0,255847.0,19154.2,203.0,12.0
699714.0,862931.0,6.0,89279.0,2.0,7.0,8.0,153.0,78.0,140.0,428955.5,270758.5,12754.142857142857,218.0,16.0
686990.0,770762.0,2.0,132538.0,2.0,8.0,15.0,181.0,53.0,97.0,215386.0,471604.0,44179.333333333336,150.0,30.0
599775.0,780803.0,4.0,89421.0,4.0,9.0,13.0,188.0,55.0,83.0,362377.0,237398.0,17884.2,138.0,52.0
694702.0,767448.0,6.0,98217.0,2.0,4.0,11.0,190.0,76.0,106.0,335093.5,359608.5,14031.0,182.0,22.0
601147.0,761283.0,6.0,122209.0,4.0,7.0,14.0,167.0,117.0,136.0,197714.5,403432.5,17458.428571428572,253.0,56.0
548082.0,732388.0,5.0,88960.0,3.0,2.0,12.0,143.0,71.0,70.0,283184.0,264898.0,14826.666666666666,141.0,36.0
672201.0,741077.0,3.0,81786.0,1.0,1.0,13.0,138.0,91.0,69.0,379608.0,292593.0,20446.5,160.0,13.0
675458.0,713650.0,5.0,149729.0,3.0,6.0,10.0,154.0,77.0,122.0,98311.5,577146.5,24954.833333333332,199.0,30.0
686601.0,879334.0,7.0,142201.0,5.0,1.0,12.0,135.0,65.0,114.0,207552.0,479049.0,17775.125,179.0,60.0
593981.0,840526.0,4.0,65756.0,3.0,3.0,9.0,200.0,66.0,69.0,454168.5,139812.5,13151.2,135.0,27.0
639183.0,859130.0,2.0,146017.0,4.0,4.0,9.0,162.0,55.0,75.0,166283.0,472900.0,48672.333333333336,130.0,36.0
624535.0,801702.0,5.0,67075.0,1.0,8.0,15.0,138.0,110.0,75.0,459914.5,164620.5,11179.166666666666,185.0,15.0
692378.0,826787.0,3.0,112953.0,2.0,5.0,11.0,188.0,53.0,81.0,309449.0,382929.0,28238.25,134.0,22.0
579505.0,771166.0,5.0,62918.0,4.0,6.0,10.0,174.0,112.0,132.0,426760.0,152745.0,10486.333333333334,244.0,40.0
630842.0,709467.0,6.0,64667.0,4.0,4.0,9.0,150.0,106.0,139.0,408860.5,221981.5,9238.142857142857,245.0,36.0
619697.0,880221.0,5.0,66345.0,4.0,8.0,12.0,185.0,82.0,92.0,500164.0,119533.0,11057.5,174.0,48.0
573999.0,722381.0,4.0,101065.0,4.0,3.0,11.0,197.0,54.0,116.0,244295.5,329703.5,20213.0,170.0,44.0
523637.0,816084.0,7.0,127042.0,5.0,6.0,11.0,135.0,86.0,82.0,158951.5,364685.5,15880.25,168.0,55.0
574548.0,808948.0,7.0,101621.0,5.0,8.0,12.0,140.0,57.0,71.0,295013.0,279535.0,12702.625,128.0,60.0
510669.0,833987.0,3.0,96784.0,3.0,2.0,14.0,145.0,93.0,124.0,285487.0,225182.0,24196.0,217.0,42.0
561292.0,892767.0,2.0,138370.0,2.0,7.0,14.0,169.0,60.0,108.0,182219.5,379072.5,46123.333333333336,168.0,28.0
538205.0,838310.0,2.0,52701.0,3.0,5.0,8.0,143.0,59.0,128.0,479318.5,58886.5,17567.0,187.0,24.0
552309.0,750321.0,6.0,134717.0,4.0,10.0,11.0,164.0,66.0,126.0,159309.5,392999.5,19245.285714285714,192.0,44.0
574691.0,751513.0,2.0,114702.0,4.0,5.0,11.0,175.0,61.0,120.0,206591.0,368100.0,38234.0,181.0,44.0
577821.0,762633.0,2.0,87661.0,1.0,8.0,11.0,150.0,107.0,82.0,336181.5,241639.5,29220.333333333332,189.0,11.0
698848.0,706280.0,7.0,111194.0,2.0,10.0,10.0,199.0,57.0,133.0,299645.0,399203.0,13899.25,190.0,20.0
669082.0,883158.0,3.0,115617.0,5.0,3.0,10.0,151.0,58.0,69.0,315403.5,353678.5,28904.25,127.0,50.0
593544.0,844333.0,2.0,144322.0,3.0,6.0,13.0,180.0,54.0,70.0,145880.5,447663.5,48107.333333333336,124.0,39.0
625048.0,731255.0,5.0,129866.0,1.0,7.0,11.0,171.0,54.0,79.0,165741.5,459306.5,21644.333333333332,133.0,11.0
671271.0,885264.0,2.0,115241.0,4.0,8.0,15.0,197.0,101.0,114.0,334502.0,336769.0,38413.666666666664,215.0,60.0
643414.0,835263.0,6.0,121264.0,3.0,2.0,9.0,198.0,113.0,86.0,250771.0,392643.0,17323.428571428572,199.0,27.0
536149.0,822452.0,7.0,98529.0,3.0,6.0,12.0,143.0,69.0,138.0,281037.5,255111.5,12316.125,207.0,36.0
616528.0,818206.0,5.0,125066.0,1.0,10.0,12.0,152.0,106.0,115.0,265799.5,350728.5,20844.333333333332,221.0,12.0
555055.0,885685.0,4.0,106209.0,3.0,1.0,12.0,184.0,89.0,108.0,295406.5,259648.5,21241.8,197.0,36.0
694577.0,718804.0,7.0,142292.0,4.0,1.0,12.0,135.0,75.0,109.0,129863.0,564714.0,17786.5,184.0,48.0
650007.0,844846.0,6.0,148846.0,2.0,9.0,13.0,138.0,61.0,109.0,177933.5,472073.5,21263.714285714286,170.0,26.0
569918.0,882960.0,6.0,139060.0,4.0,8.0,14.0,145.0,108.0,68.0,183465.5,386452.5,19865.714285714286,176.0,56.0
603745.0,881849.0,4.0,87263.0,2.0,10.0,15.0,137.0,76.0,120.0,443528.0,160217.0,17452.6,196.0,30.0
685165.0,700885.0,6.0,143513.0,3.0,6.0,15.0,141.0,117.0,102.0,119387.0,565778.0,20501.85714285714,219.0,45.0
643100.0,860268.0,3.0,111289.0,2.0,1.0,12.0,153.0,80.0,97.0,306660.0,336440.0,27822.25,177.0,24.0
677501.0,708173.0,5.0,148135.0,2.0,8.0,9.0,159.0,104.0,89.0,115351.0,562150.0,24689.166666666668,193.0,18.0
553193.0,713245.0,7.0,144691.0,3.0,4.0,13.0,144.0,89.0,69.0,46920.5,506272.5,18086.375,158.0,39.0
568395.0,831705.0,6.0,147297.0,5.0,3.0,12.0,156.0,111.0,116.0,108921.5,459473.5,21042.428571428572,227.0,60.0
511480.0,707187.0,7.0,106846.0,4.0,6.0,11.0,145.0,75.0,128.0,178180.5,333299.5,13355.75,203.0,44.0
567270.0,866846.0,2.0,56829.0,4.0,6.0,9.0,144.0,102.0,112.0,494345.5,72924.5,18943.0,214.0,36.0
530534.0,844523.0,2.0,139330.0,4.0,10.0,10.0,191.0,72.0,124.0,180948.0,349586.0,46443.333333333336,196.0,40.0
653115.0,828452.0,3.0,109500.0,2.0,2.0,11.0,149.0,68.0,133.0,302929.5,350185.5,27375.0,201.0,22.0
658513.0,734546.0,6.0,105989.0,3.0,4.0,9.0,149.0,78.0,119.0,269532.5,388980.5,15141.285714285714,197.0,27.0
638444.0,849075.0,7.0,136786.0,5.0,5.0,9.0,174.0,68.0,135.0,191566.0,446878.0,17098.25,203.0,45.0
639784.0,775197.0,4.0,62513.0,4.0,3.0,9.0,148.0,115.0,122.0,457793.0,181991.0,12502.6,237.0,36.0
614333.0,830559.0,5.0,123416.0,3.0,5.0,10.0,153.0,86.0,74.0,229110.0,385223.0,20569.333333333332,160.0,30.0
573043.0,879481.0,2.0,132347.0,2.0,3.0,12.0,200.0,115.0,82.0,197266.0,375777.0,44115.666666666664,197.0,24.0
585809.0,708970.0,5.0,76096.0,5.0,5.0,13.0,162.0,91.0,83.0,344820.5,240988.5,12682.666666666666,174.0,65.0
592610.0,704912.0,3.0,130989.0,1.0,4.0,13.0,189.0,89.0,69.0,125454.0,467156.0,32747.25,158.0,13.0
548129.0,863055.0,2.0,77250.0,2.0,8.0,15.0,184.0,114.0,101.0,413288.0,134841.0,25750.0,215.0,30.0
573920.0,793513.0,6.0,129656.0,5.0,9.0,13.0,186.0,76.0,138.0,192576.0,381344.0,18522.285714285714,214.0,65.0
508356.0,799162.0,7.0,61116.0,2.0,10.0,12.0,185.0,65.0,72.0,451140.5,57215.5,7639.5,137.0,24.0
667176.0,740200.0,6.0,80059.0,2.0,4.0,10.0,157.0,54.0,84.0,380289.5,286886.5,11437.0,138.0,20.0
663651.0,834585.0,7.0,64973.0,4.0,7.0,10.0,186.0,113.0,126.0,490000.5,173650.5,8121.625,239.0,40.0
661301.0,714269.0,4.0,135652.0,4.0,4.0,11.0,140.0,86.0,72.0,145898.5,515402.5,27130.4,158.0,44.0
548477.0,726882.0,6.0,58604.0,3.0,4.0,11.0,153.0,117.0,105.0,400257.0,148220.0,8372.0,222.0,33.0
694363.0,751659.0,6.0,111844.0,5.0,3.0,15.0,144.0,84.0,99.0,273707.0,420656.0,15977.714285714286,183.0,75.0
542922.0,731562.0,4.0,128326.0,4.0,2.0,11.0,145.0,106.0,87.0,124183.5,418738.5,25665.2,193.0,44.0
567129.0,754655.0,5.0,132856.0,1.0,6.0,10.0,136.0,119.0,110.0,132026.5,435102.5,22142.666666666668,229.0,10.0
620354.0,776304.0,4.0,84131.0,5.0,8.0,11.0,185.0,72.0,125.0,379491.0,240863.0,16826.2,197.0,55.0
629323.0,711938.0,7.0,87618.0,5.0,5.0,11.0,161.0,82.0,139.0,315131.5,314191.5,10952.25,221.0,55.0
508242.0,775411.0,4.0,60917.0,1.0,6.0,10.0,151.0,100.0,69.0,401745.0,106497.0,12183.4,169.0,10.0
548996.0,783505.0,7.0,89457.0,1.0,8.0,10.0,184.0,108.0,105.0,316652.0,232344.0,11182.125,213.0,10.0
691946.0,879308.0,6.0,124010.0,5.0,3.0,15.0,137.0,102.0,120.0,287675.0,404271.0,17715.714285714286,222.0,75.0
662468.0,874591.0,7.0,133038.0,3.0,4.0,15.0,184.0,84.0,77.0,228892.5,433575.5,16629.75,161.0,45.0
531885.0,895833.0,6.0,119737.0,2.0,9.0,11.0,155.0,80.0,119.0,260801.0,271084.0,17105.285714285714,199.0,22.0
531988.0,816682.0,7.0,99340.0,5.0,10.0,13.0,143.0,68.0,135.0,320391.5,211596.5,12417.5,203.0,65.0
661074.0,779523.0,6.0,71556.0,4.0,8.0,13.0,160.0,98.0,82.0,447337.0,213737.0,10222.285714285714,180.0,52.0
695631.0,899083.0,4.0,137714.0,1.0,9.0,13.0,197.0,83.0,85.0,275781.0,419850.0,27542.8,168.0,13.0
662990.0,891569.0,6.0,76546.0,1.0,2.0,12.0,146.0,109.0,96.0,467471.5,195518.5,10935.142857142857,205.0,12.0
691375.0,711115.0,4.0,103666.0,5.0,6.0,15.0,152.0,96.0,108.0,291810.0,399565.0,20733.2,204.0,75.0
509560.0,898476.0,7.0,97061.0,4.0,3.0,8.0,176.0,118.0,75.0,308220.5,201339.5,12132.625,193.0,32.0
547835.0,774880.0,4.0,63934.0,1.0,3.0,11.0,198.0,91.0,137.0,405505.0,142330.0,12786.8,228.0,11.0
668434.0,798819.0,5.0,63448.0,1.0,9.0,13.0,173.0,100.0,138.0,508087.0,160347.0,10574.666666666666,238.0,13.0
584786.0,896839.0,6.0,84933.0,3.0,9.0,14.0,159.0,105.0,128.0,427132.5,157653.5,12133.285714285714,233.0,42.0
591356.0,824911.0,3.0,94294.0,3.0,4.0,8.0,180.0,82.0,109.0,331687.0,259669.0,23573.5,191.0,24.0
590968.0,836673.0,2.0,102791.0,1.0,5.0,13.0,149.0,65.0,100.0,304445.0,286523.0,34263.666666666664,165.0,13.0
553351.0,747014.0,7.0,81955.0,5.0,3.0,14.0,190.0,87.0,70.0,315914.5,237436.5,10244.375,157.0,70.0
548116.0,811132.0,4.0,77196.0,3.0,4.0,14.0,155.0,85.0,95.0,371227.0,176889.0,15439.2,180.0,42.0
583781.0,897344.0,6.0,148838.0,4.0,8.0,14.0,149.0,100.0,140.0,158511.0,425270.0,21262.571428571428,240.0,56.0
676727.0,756074.0,4.0,117511.0,3.0,1.0,13.0,139.0,120.0,123.0,246242.0,430485.0,23502.2,243.0,39.0
631833.0,854539.0,6.0,60233.0,4.0,4.0,12.0,173.0,72.0,125.0,499647.0,132186.0,8604.714285714286,197.0,48.0
670656.0,871042.0,4.0,95020.0,5.0,2.0,14.0,182.0,65.0,81.0,392097.5,278558.5,19004.0,146.0,70.0
673745.0,742029.0,3.0,66721.0,2.0,10.0,11.0,138.0,97.0,95.0,491123.0,182622.0,16680.25,192.0,22.0
504016.0,791933.0,4.0,106653.0,4.0,2.0,15.0,194.0,112.0,96.0,221692.0,282324.0,21330.6,208.0,60.0
512638.0,820109.0,6.0,55592.0,4.0,4.0,15.0,142.0,56.0,85.0,441395.5,71242.5,7941.714285714285,141.0,60.0
673588.0,755102.0,6.0,147206.0,3.0,4.0,14.0,193.0,98.0,115.0,122567.5,551020.5,21029.428571428572,213.0,42.0
557635.0,798449.0,3.0,50815.0,3.0,1.0,8.0,181.0,115.0,78.0,475001.5,82633.5,12703.75,193.0,24.0
620721.0,769100.0,6.0,130890.0,3.0,9.0,9.0,168.0,85.0,89.0,197320.0,423401.0,18698.571428571428,174.0,27.0
506067.0,804098.0,5.0,117260.0,2.0,5.0,10.0,155.0,118.0,126.0,186308.0,319759.0,19543.333333333332,244.0,20.0
639403.0,846365.0,7.0,103143.0,2.0,2.0,12.0,155.0,111.0,117.0,322204.0,317199.0,12892.875,228.0,24.0
576412.0,749928.0,4.0,114468.0,2.0,8.0,11.0,137.0,55.0,140.0,221412.5,354999.5,22893.6,195.0,22.0
663985.0,748107.0,3.0,146540.0,3.0,7.0,9.0,164.0,63.0,92.0,128489.5,535495.5,36635.0,155.0,27.0
577471.0,890960.0,3.0,64120.0,3.0,6.0,13.0,144.0,51.0,113.0,481862.0,95609.0,16030.0,164.0,39.0
615930.0,767273.0,5.0,124225.0,4.0,9.0,8.0,145.0,91.0,88.0,223369.5,392560.5,20704.166666666668,179.0,32.0
560066.0,768454.0,5.0,138414.0,4.0,6.0,14.0,155.0,79.0,87.0,113700.0,446366.0,23069.0,166.0,56.0
687237.0,843143.0,6.0,125638.0,1.0,9.0,15.0,143.0,101.0,94.0,288556.5,398680.5,17948.285714285714,195.0,15.0
596236.0,840187.0,4.0,94388.0,2.0,6.0,15.0,162.0,65.0,124.0,344339.5,251896.5,18877.6,189.0,30.0
684924.0,737091.0,7.0,132498.0,1.0,5.0,11.0,164.0,69.0,94.0,174399.0,510525.0,16562.25,163.0,11.0
580102.0,753682.0,2.0,103972.0,2.0,2.0,14.0,196.0,78.0,125.0,251317.5,328784.5,34657.333333333336,203.0,28.0
660260.0,791726.0,2.0,75311.0,4.0,4.0,10.0,143.0,74.0,89.0,425960.0,234300.0,25103.666666666668,163.0,40.0
607256.0,722776.0,4.0,116286.0,2.0,10.0,11.0,144.0,77.0,112.0,249603.0,357653.0,23257.2,189.0,22.0
509579.0,761720.0,2.0,65706.0,4.0,10.0,8.0,148.0,84.0,75.0,423507.0,86072.0,21902.0,159.0,32.0
570570.0,818218.0,6.0,96565.0,4.0,2.0,8.0,166.0,87.0,140.0,305002.5,265567.5,13795.0,227.0,32.0
600974.0,835783.0,5.0,91449.0,5.0,10.0,11.0,149.0,70.0,120.0,402812.5,198161.5,15241.5,190.0,55.0
535651.0,798186.0,3.0,78945.0,1.0,2.0,14.0,177.0,73.0,123.0,351318.0,184333.0,19736.25,196.0,14.0
642174.0,749626.0,3.0,127775.0,5.0,4.0,9.0,182.0,120.0,129.0,187009.0,455165.0,31943.75,249.0,45.0
570781.0,866830.0,4.0,95647.0,2.0,8.0,8.0,192.0,89.0,134.0,352345.0,218436.0,19129.4,223.0,16.0
554778.0,873033.0,2.0,78535.0,3.0,4.0,8.0,185.0,73.0,125.0,400606.5,154171.5,26178.333333333332,198.0,24.0
692157.0,824926.0,7.0,142959.0,2.0,4.0,9.0,198.0,116.0,99.0,179077.0,513080.0,17869.875,215.0,18.0
668427.0,811766.0,3.0,60176.0,4.0,8.0,15.0,151.0,87.0,135.0,516466.0,151961.0,15044.0,222.0,60.0
690836.0,800089.0,6.0,89533.0,1.0,5.0,12.0,180.0,72.0,90.0,385248.5,305587.5,12790.42857142857,162.0,12.0
617893.0,728235.0,5.0,91030.0,4.0,4.0,11.0,163.0,84.0,108.0,308643.5,309249.5,15171.666666666666,192.0,44.0
549326.0,784319.0,5.0,111631.0,4.0,1.0,8.0,136.0,113.0,115.0,219462.5,329863.5,18605.166666666668,228.0,32.0
652544.0,783771.0,7.0,83487.0,4.0,5.0,10.0,141.0,62.0,79.0,378071.5,274472.5,10435.875,141.0,40.0
539392.0,721550.0,3.0,81037.0,4.0,3.0,12.0,175.0,108.0,95.0,307096.0,232296.0,20259.25,203.0,48.0
552280.0,898290.0,2.0,129891.0,5.0,2.0,11.0,144.0,57.0,72.0,207480.5,344799.5,43297.0,129.0,55.0
670488.0,831110.0,6.0,118013.0,1.0,6.0,14.0,151.0,62.0,83.0,278993.5,391494.5,16859.0,145.0,14.0
610246.0,867049.0,5.0,145711.0,3.0,8.0,9.0,194.0,58.0,95.0,170960.5,439285.5,24285.166666666668,153.0,27.0
507804.0,835300.0,7.0,97320.0,3.0,10.0,13.0,175.0,82.0,114.0,324260.0,183544.0,12165.0,196.0,39.0
699322.0,723544.0,5.0,91444.0,4.0,7.0,11.0,153.0,66.0,114.0,353237.0,346085.0,15240.666666666666,180.0,44.0
663877.0,712781.0,4.0,125669.0,1.0,3.0,12.0,153.0,74.0,74.0,185485.5,478391.5,25133.8,148.0,12.0
605017.0,835653.0,4.0,98980.0,4.0,7.0,13.0,146.0,106.0,125.0,333091.5,271925.5,19796.0,231.0,52.0
522690.0,700733.0,3.0,62161.0,1.0,2.0,8.0,170.0,120.0,94.0,363186.5,159503.5,15540.25,214.0,8.0
685935.0,784038.0,5.0,111461.0,2.0,8.0,12.0,142.0,73.0,114.0,304216.5,381718.5,18576.833333333332,187.0,24.0
697488.0,887714.0,2.0,130004.0,3.0,6.0,10.0,198.0,57.0,99.0,276805.5,420682.5,43334.666666666664,156.0,30.0
516747.0,780413.0,2.0,74396.0,1.0,6.0,15.0,159.0,95.0,134.0,355175.0,161572.0,24798.666666666668,229.0,15.0
532784.0,822216.0,4.0,69525.0,1.0,8.0,9.0,181.0,111.0,68.0,415493.0,117291.0,13905.0,179.0,9.0
597229.0,830443.0,6.0,149529.0,1.0,4.0,14.0,147.0,73.0,103.0,112604.0,484625.0,21361.285714285714,176.0,14.0
592277.0,878871.0,4.0,122589.0,1.0,9.0,8.0,200.0,96.0,85.0,274453.5,317823.5,24517.8,181.0,8.0
543149.0,790766.0,4.0,90509.0,4.0,5.0,14.0,143.0,50.0,134.0,306745.5,236403.5,18101.8,184.0,56.0
568688.0,885904.0,4.0,58427.0,5.0,7.0,13.0,181.0,53.0,128.0,503307.5,65380.5,11685.4,181.0,65.0
547027.0,782602.0,2.0,108683.0,4.0,4.0,8.0,152.0,53.0,133.0,231291.5,315735.5,36227.666666666664,186.0,32.0
625747.0,780263.0,5.0,125694.0,2.0,7.0,13.0,155.0,86.0,123.0,207352.5,418394.5,20949.0,209.0,26.0
577448.0,711931.0,7.0,140455.0,4.0,5.0,13.0,137.0,71.0,86.0,76772.0,500676.0,17556.875,157.0,52.0
642206.0,724236.0,6.0,135473.0,5.0,5.0,12.0,158.0,63.0,100.0,140798.5,501407.5,19353.285714285714,163.0,60.0
667905.0,842018.0,7.0,143488.0,4.0,4.0,12.0,142.0,74.0,74.0,173847.0,494058.0,17936.0,148.0,48.0
548859.0,804414.0,5.0,74791.0,5.0,2.0,10.0,147.0,53.0,136.0,377706.5,171152.5,12465.166666666666,189.0,50.0
678529.0,770463.0,3.0,61501.0,3.0,5.0,13.0,142.0,62.0,132.0,480307.0,198222.0,15375.25,194.0,39.0
656956.0,796638.0,6.0,62768.0,1.0,1.0,13.0,165.0,73.0,79.0,472081.0,184875.0,8966.857142857143,152.0,13.0
681606.0,874791.0,4.0,71430.0,2.0,5.0,15.0,140.0,52.0,106.0,493806.5,187799.5,14286.0,158.0,30.0
682642.0,822524.0,3.0,89634.0,1.0,2.0,13.0,183.0,65.0,116.0,394208.5,288433.5,22408.5,181.0,13.0
688038.0,741756.0,5.0,92073.0,5.0,9.0,11.0,195.0,61.0,114.0,376375.0,311663.0,15345.5,175.0,55.0
666466.0,765086.0,5.0,84645.0,4.0,9.0,14.0,170.0,104.0,90.0,405950.0,260516.0,14107.5,194.0,56.0
678638.0,756501.0,7.0,101835.0,4.0,8.0,10.0,193.0,84.0,81.0,318951.0,359687.0,12729.375,165.0,40.0
633344.0,756063.0,5.0,78025.0,1.0,9.0,15.0,171.0,94.0,132.0,410877.0,222467.0,13004.166666666666,226.0,15.0
530056.0,722815.0,2.0,102621.0,3.0,1.0,14.0,145.0,77.0,71.0,216302.0,313754.0,34207.0,148.0,42.0
636836.0,737079.0,4.0,133726.0,1.0,6.0,15.0,170.0,115.0,68.0,155719.0,481117.0,26745.2,183.0,15.0
557537.0,807222.0,4.0,50714.0,1.0,10.0,15.0,178.0,85.0,125.0,529318.5,28218.5,10142.8,210.0,15.0
547958.0,881844.0,7.0,58644.0,3.0,5.0,10.0,170.0,107.0,80.0,473834.0,74124.0,7330.5,187.0,30.0
586866.0,897571.0,4.0,73215.0,1.0,7.0,10.0,175.0,51.0,99.0,457463.0,129403.0,14643.0,150.0,10.0
652099.0,877998.0,7.0,60345.0,3.0,9.0,12.0,183.0,94.0,99.0,545171.0,106928.0,7543.125,193.0,36.0
638415.0,766346.0,4.0,54984.0,3.0,5.0,14.0,169.0,50.0,120.0,483884.0,154531.0,10996.8,170.0,42.0
549439.0,863684.0,4.0,52213.0,3.0,5.0,12.0,146.0,87.0,102.0,499121.0,50318.0,10442.6,189.0,36.0
505738.0,748993.0,5.0,89569.0,1.0,5.0,10.0,189.0,64.0,119.0,269326.0,236412.0,14928.166666666666,183.0,10.0
633227.0,838144.0,7.0,55789.0,3.0,7.0,11.0,162.0,81.0,105.0,512885.5,120341.5,6973.625,186.0,33.0
507272.0,723423.0,7.0,133251.0,4.0,3.0,13.0,199.0,102.0,109.0,74863.0,432409.0,16656.375,211.0,52.0
554382.0,765841.0,3.0,119539.0,4.0,7.0,9.0,142.0,87.0,104.0,190956.5,363425.5,29884.75,191.0,36.0
524395.0,783352.0,2.0,139517.0,4.0,2.0,11.0,179.0,102.0,71.0,96554.0,427841.0,46505.666666666664,173.0,44.0
513242.0,812506.0,7.0,59097.0,4.0,1.0,13.0,168.0,89.0,127.0,418871.5,94370.5,7387.125,216.0,52.0
627403.0,785111.0,7.0,64701.0,4.0,6.0,13.0,186.0,88.0,129.0,443735.5,183667.5,8087.625,217.0,52.0
607956.0,824296.0,6.0,135163.0,3.0,4.0,11.0,188.0,70.0,106.0,172462.0,435494.0,19309.0,176.0,33.0
623158.0,878859.0,6.0,74674.0,5.0,1.0,10.0,158.0,83.0,81.0,450198.5,172959.5,10667.714285714286,164.0,50.0
507180.0,872051.0,7.0,121255.0,2.0,7.0,10.0,192.0,64.0,88.0,204833.5,302346.5,15156.875,152.0,20.0
661095.0,828377.0,2.0,61760.0,4.0,1.0,11.0,136.0,117.0,77.0,498418.0,162677.0,20586.666666666668,194.0,44.0
659900.0,731637.0,4.0,135529.0,2.0,1.0,11.0,154.0,66.0,88.0,153371.5,506528.5,27105.8,154.0,22.0
593348.0,736659.0,6.0,70499.0,5.0,5.0,11.0,184.0,51.0,78.0,382461.5,210886.5,10071.285714285714,129.0,55.0
546212.0,886437.0,2.0,120388.0,3.0,3.0,13.0,151.0,65.0,119.0,235251.5,310960.5,40129.333333333336,184.0,39.0
557488.0,811736.0,5.0,68212.0,5.0,7.0,12.0,172.0,73.0,78.0,420401.0,137087.0,11368.666666666666,151.0,60.0
658505.0,815372.0,3.0,96683.0,3.0,9.0,13.0,151.0,99.0,101.0,379991.0,278514.0,24170.75,200.0,39.0
646344.0,842733.0,7.0,86722.0,1.0,8.0,9.0,196.0,113.0,89.0,405871.0,240473.0,10840.25,202.0,9.0
651106.0,779208.0,4.0,53137.0,3.0,8.0,8.0,191.0,109.0,121.0,518845.0,132261.0,10627.4,230.0,24.0
631967.0,806929.0,3.0,149565.0,5.0,1.0,9.0,151.0,71.0,125.0,122843.5,509123.5,37391.25,196.0,45.0
505560.0,817668.0,6.0,124610.0,3.0,1.0,11.0,159.0,71.0,127.0,159647.0,345913.0,17801.428571428572,198.0,33.0
551204.0,716632.0,3.0,76306.0,2.0,3.0,13.0,161.0,85.0,112.0,328973.5,222230.5,19076.5,197.0,26.0
564077.0,767455.0,6.0,133023.0,1.0,3.0,8.0,186.0,60.0,99.0,130112.5,433964.5,19003.285714285714,159.0,8.0
588251.0,738419.0,7.0,63815.0,4.0,1.0,12.0,142.0,102.0,133.0,400444.5,187806.5,7976.875,235.0,48.0
621591.0,720042.0,2.0,89687.0,1.0,3.0,14.0,184.0,73.0,136.0,312469.0,309122.0,29895.666666666668,209.0,14.0
